"filename", "language", "YAML", "Swift", "Dart", "Groovy", "comment", "blank", "total"
"d:\flutter_projects\main\youtube-flutter-clone\android\app\build.gradle", "Groovy", 0, 0, 0, 2, 0, 2, 4
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\functions\api_result.freezed.dart", "Dart", 0, 0, -8, 0, 0, -2, -10
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\functions\network_exception_model.dart", "Dart", 0, 0, 6, 0, 0, 3, 9
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\functions\network_exceptions.dart", "Dart", 0, 0, -9, 0, 0, 1, -8
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\functions\reformat\views_reformat.dart", "Dart", 0, 0, 10, 0, 0, 4, 14
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\resources\color_manager.dart", "Dart", 0, 0, 1, 0, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\utility\constants.dart", "Dart", 0, 0, 1, 0, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\utility\injector.dart", "Dart", 0, 0, 11, 0, 0, 1, 12
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\widgets\multi_bloc_provider.dart", "Dart", 0, 0, 4, 0, 0, 0, 4
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\channel\channel_apis.g.dart", "Dart", 0, 0, 30, 0, 0, 1, 31
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\search\auto_complete_search\auto_complete_text_apis.dart", "Dart", 0, 0, 19, 0, 0, 7, 26
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\single_video\commet\comment_apis.g.dart", "Dart", 0, 0, 1, 0, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\single_video\single_video_apis.g.dart", "Dart", 0, 0, 1, 0, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\videos\try.dart", "Dart", 0, 0, 0, 0, 220, 1, 221
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\videos\videos_apis.dart", "Dart", 0, 0, 2, 0, 0, 0, 2
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\videos\videos_apis.g.dart", "Dart", 0, 0, 6, 0, 0, 0, 6
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\channel_details\channel_details.dart", "Dart", 0, 0, -8, 0, 0, -3, -11
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\channel_details\channel_details.g.dart", "Dart", 0, 0, -14, 0, 0, -1, -15
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\channel_details\channel_sub_details\channel_sub_details_extension.dart", "Dart", 0, 0, 20, 0, 1, 5, 26
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\channel_details\my_subscriptions_details.g.dart", "Dart", 0, 0, 42, 0, 4, 7, 53
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\common\thumbnail_details\high_thumbnail_details.dart", "Dart", 0, 0, 11, 0, 0, 5, 16
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\common\thumbnail_details\high_thumbnail_details.g.dart", "Dart", 0, 0, 10, 0, 4, 4, 18
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\searched_video_details\searched_video_details.dart", "Dart", 0, 0, 61, 0, 0, 15, 76
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\searched_video_details\searched_video_details.g.dart", "Dart", 0, 0, 45, 0, 4, 7, 56
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\searched_video_details\searched_video_extension.dart", "Dart", 0, 0, 0, 0, 0, 1, 1
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\suggestion_texts\suggestion_texts.dart", "Dart", 0, 0, 6, 0, 0, 3, 9
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\videos_details\video_details_extension.dart", "Dart", 0, 0, 36, 0, 1, 6, 43
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\videos_details\videos_details.dart", "Dart", 0, 0, -4, 0, 0, -3, -7
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\videos_details\videos_details.g.dart", "Dart", 0, 0, -4, 0, 0, -1, -5
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\repositories_impl\channel\channel_details_repo_impl.dart", "Dart", 0, 0, 3, 0, 0, 2, 5
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\repositories_impl\channel\channel_playlist_repo_impl.dart", "Dart", 0, 0, 0, 0, 0, 1, 1
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\repositories_impl\channel\channel_videos_repo_impl.dart", "Dart", 0, 0, 0, 0, 0, 1, 1
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\repositories_impl\search_details_repo_impl.dart", "Dart", 0, 0, 60, 0, 1, 4, 65
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\repositories_impl\single_video_details\single_video_details_repo_impl.dart", "Dart", 0, 0, 0, 0, 0, 1, 1
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\repositories_impl\single_video_details\video_comment_details_repo_impl.dart", "Dart", 0, 0, 0, 0, 0, 1, 1
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\repositories_impl\videos_details_repo_impl.dart", "Dart", 0, 0, 5, 0, 0, 1, 6
"d:\flutter_projects\main\youtube-flutter-clone\lib\domain\repositories\search_details_repository.dart", "Dart", 0, 0, 2, 0, 0, 0, 2
"d:\flutter_projects\main\youtube-flutter-clone\lib\domain\use_cases\channel_details\channel_videos\channel_popular_videos_use_case.dart", "Dart", 0, 0, -2, 0, 0, 0, -2
"d:\flutter_projects\main\youtube-flutter-clone\lib\domain\use_cases\channel_details\channel_videos\channel_short_poupal_videos_use_case.dart", "Dart", 0, 0, -2, 0, 0, 0, -2
"d:\flutter_projects\main\youtube-flutter-clone\lib\domain\use_cases\channel_details\channel_videos\channel_short_videos_use_case.dart", "Dart", 0, 0, -2, 0, 0, 0, -2
"d:\flutter_projects\main\youtube-flutter-clone\lib\domain\use_cases\channel_details\channel_videos\channel_videos_use_case.dart", "Dart", 0, 0, -2, 0, 0, 0, -2
"d:\flutter_projects\main\youtube-flutter-clone\lib\domain\use_cases\channel_details\delete_subscription_use_case.dart", "Dart", 0, 0, -2, 0, 0, 0, -2
"d:\flutter_projects\main\youtube-flutter-clone\lib\domain\use_cases\channel_details\my_subscriptions_channels_use_case.dart", "Dart", 0, 0, -2, 0, 0, 0, -2
"d:\flutter_projects\main\youtube-flutter-clone\lib\domain\use_cases\channel_details\subscribe_to_channel_use_case.dart", "Dart", 0, 0, -1, 0, 0, 0, -1
"d:\flutter_projects\main\youtube-flutter-clone\lib\domain\use_cases\search_details\suggestion_search_texts_use_case.dart", "Dart", 0, 0, 20, 0, 0, 5, 25
"d:\flutter_projects\main\youtube-flutter-clone\lib\domain\use_cases\videos_details\most_popular_videos_use_case.dart", "Dart", 0, 0, 6, 0, 0, 2, 8
"d:\flutter_projects\main\youtube-flutter-clone\lib\main.dart", "Dart", 0, 0, -6, 0, 0, 5, -1
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\common_widgets\circular_profile_image.dart", "Dart", 0, 0, 9, 0, 0, 1, 10
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\common_widgets\mini_player_video.dart", "Dart", 0, 0, 24, 0, 0, 1, 25
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\common_widgets\moved_thumbnail_video.dart", "Dart", 0, 0, -110, 0, 0, -7, -117
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\common_widgets\small_thumbnail_video.dart", "Dart", 0, 0, -22, 0, 0, -3, -25
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\common_widgets\thumbnail_image.dart", "Dart", 0, 0, 39, 0, 0, 4, 43
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\common_widgets\thumbnail_of_video.dart", "Dart", 0, 0, 116, 0, 0, 7, 123
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\cubit\channel\channel_details_cubit.dart", "Dart", 0, 0, 0, 0, 0, 1, 1
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\cubit\channel\channel_details_cubit.freezed.dart", "Dart", 0, 0, 184, 0, 3, 12, 199
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\cubit\channel\channel_videos\channel_videos_cubit.dart", "Dart", 0, 0, 0, 0, 0, 1, 1
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\cubit\channel\channel_videos\channel_videos_cubit.freezed.dart", "Dart", 0, 0, -8, 0, 0, -2, -10
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\cubit\channel\playlist\play_list_cubit.dart", "Dart", 0, 0, 0, 0, 0, 1, 1
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\cubit\channel\playlist\play_list_cubit.freezed.dart", "Dart", 0, 0, -8, 0, 0, -2, -10
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\cubit\channel\playlist\play_list_state.dart", "Dart", 0, 0, -1, 0, 0, -1, -2
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\cubit\search\search_cubit.dart", "Dart", 0, 0, 14, 0, 0, 4, 18
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\cubit\search\search_cubit.freezed.dart", "Dart", 0, 0, 185, 0, 3, 16, 204
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\cubit\search\search_state.dart", "Dart", 0, 0, 3, 0, 0, 1, 4
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\cubit\single_video\single_video_cubit.dart", "Dart", 0, 0, 0, 0, 0, 1, 1
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\cubit\single_video\single_video_cubit.freezed.dart", "Dart", 0, 0, -8, 0, 0, -2, -10
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\cubit\videos\popular_videos\popular_videos_cubit.dart", "Dart", 0, 0, 54, 0, 0, 18, 72
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\cubit\videos\popular_videos\popular_videos_cubit.freezed.dart", "Dart", 0, 0, 1201, 0, 33, 127, 1361
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\cubit\videos\popular_videos\popular_videos_state.dart", "Dart", 0, 0, 16, 0, 0, 8, 24
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\cubit\videos\videos_details_cubit.dart", "Dart", 0, 0, -14, 0, 0, -2, -16
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\cubit\videos\videos_details_cubit.freezed.dart", "Dart", 0, 0, -8, 0, 0, -2, -10
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\pages\channel_profile\tab_bar_views\home_view.dart", "Dart", 0, 0, 8, 0, 0, 2, 10
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\pages\channel_profile\tab_bar_views\videos_view.dart", "Dart", 0, 0, 5, 0, 0, 2, 7
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\pages\channel_profile\user_profile_page.dart", "Dart", 0, 0, 47, 0, 0, 4, 51
