Date : 2023-02-22 21:34:01
Directory : d:\flutter_projects\main\youtube-flutter-clone
Total : 60 files,  3751 codes, 213 comments, 473 blanks, all 4437 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         55 |      3,743 |        214 |        474 |      4,431 |
| YAML     |          1 |          4 |         -1 |         -1 |          2 |
| XML      |          4 |          4 |          0 |          0 |          4 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                            |         60 |      3,751 |        213 |        473 |      4,437 |
| . (Files)                                                                                                                                    |          1 |          4 |         -1 |         -1 |          2 |
| assets                                                                                                                                       |          4 |          4 |          0 |          0 |          4 |
| assets\icons                                                                                                                                 |          4 |          4 |          0 |          0 |          4 |
| lib                                                                                                                                          |         55 |      3,743 |        214 |        474 |      4,431 |
| lib (Files)                                                                                                                                  |          1 |         -6 |          8 |         -2 |          0 |
| lib\core                                                                                                                                     |          1 |          2 |          0 |          1 |          3 |
| lib\core\functions                                                                                                                           |          1 |          2 |          0 |          1 |          3 |
| lib\core\functions\reformat                                                                                                                  |          1 |          2 |          0 |          1 |          3 |
| lib\data                                                                                                                                     |          8 |        -25 |         -1 |          1 |        -25 |
| lib\data\data_sources                                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| lib\data\data_sources\remote                                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| lib\data\data_sources\remote\api                                                                                                             |          1 |          1 |          0 |          0 |          1 |
| lib\data\data_sources\remote\api\videos                                                                                                      |          1 |          1 |          0 |          0 |          1 |
| lib\data\models                                                                                                                              |          4 |         26 |          0 |          1 |         27 |
| lib\data\models\channel_details                                                                                                              |          3 |         17 |          0 |          2 |         19 |
| lib\data\models\channel_details (Files)                                                                                                      |          2 |         15 |          0 |          1 |         16 |
| lib\data\models\channel_details\channel_sub_details                                                                                          |          1 |          2 |          0 |          1 |          3 |
| lib\data\models\videos_details                                                                                                               |          1 |          9 |          0 |         -1 |          8 |
| lib\data\repositories_impl                                                                                                                   |          3 |        -52 |         -1 |          0 |        -53 |
| lib\data\repositories_impl (Files)                                                                                                           |          2 |        -49 |         -1 |          0 |        -50 |
| lib\data\repositories_impl\channel                                                                                                           |          1 |         -3 |          0 |          0 |         -3 |
| lib\presentation                                                                                                                             |         45 |      3,772 |        207 |        474 |      4,453 |
| lib\presentation\common_widgets                                                                                                              |          4 |         81 |          5 |         10 |         96 |
| lib\presentation\custom_packages                                                                                                             |         32 |      3,547 |        203 |        453 |      4,203 |
| lib\presentation\custom_packages\custom_mini_player                                                                                          |          3 |        400 |         37 |         97 |        534 |
| lib\presentation\custom_packages\pod_player                                                                                                  |         29 |      3,147 |        166 |        356 |      3,669 |
| lib\presentation\custom_packages\pod_player (Files)                                                                                          |          1 |         12 |          0 |          3 |         15 |
| lib\presentation\custom_packages\pod_player\src                                                                                              |         28 |      3,135 |        166 |        353 |      3,654 |
| lib\presentation\custom_packages\pod_player\src (Files)                                                                                      |          1 |        218 |         15 |         23 |        256 |
| lib\presentation\custom_packages\pod_player\src\controllers                                                                                  |          7 |        906 |        106 |        173 |      1,185 |
| lib\presentation\custom_packages\pod_player\src\models                                                                                       |          6 |        320 |         23 |         38 |        381 |
| lib\presentation\custom_packages\pod_player\src\utils                                                                                        |          3 |        135 |          1 |         12 |        148 |
| lib\presentation\custom_packages\pod_player\src\widgets                                                                                      |         11 |      1,556 |         21 |        107 |      1,684 |
| lib\presentation\custom_packages\pod_player\src\widgets (Files)                                                                              |          4 |        452 |          3 |         48 |        503 |
| lib\presentation\custom_packages\pod_player\src\widgets\core                                                                                 |          7 |      1,104 |         18 |         59 |      1,181 |
| lib\presentation\custom_packages\pod_player\src\widgets\core (Files)                                                                         |          2 |        191 |         12 |         11 |        214 |
| lib\presentation\custom_packages\pod_player\src\widgets\core\overlays                                                                        |          5 |        913 |          6 |         48 |        967 |
| lib\presentation\pages                                                                                                                       |          9 |        144 |         -1 |         11 |        154 |
