"filename", "language", "YAML", "Dart", "XML", "comment", "blank", "total"
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\new\alarm.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\new\broadcast.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\new\home_house.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\new\home_unselected.svg", "XML", 0, 0, 108, 0, 1, 109
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\new\navigation.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\new\noun-home-2263849.svg", "XML", 0, 0, 101, 0, 1, 102
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\new\search.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\share.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\my_app.dart", "Dart", 0, -62, 0, 0, -7, -69
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\resources\color_manager.dart", "Dart", 0, 2, 0, 0, 0, 2
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\translations\app_lang.dart", "Dart", 0, 8, 0, 0, 0, 8
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\utility\injector.dart", "Dart", 0, 11, 0, 0, 0, 11
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\widgets\multi_bloc_provider.dart", "Dart", 0, -40, 0, 0, -4, -44
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\widgets\sliver_app_bar.dart", "Dart", 0, -35, 0, 0, -3, -38
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\single_video\single_video_apis.dart", "Dart", 0, 6, 0, 0, 3, 9
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\single_video\single_video_apis.g.dart", "Dart", 0, 28, 0, 0, 1, 29
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\videos\videos_apis.dart", "Dart", 0, 1, 0, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\rating_details\rating_details.dart", "Dart", 0, 8, 0, 0, 4, 12
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\repositories_impl\single_video_details\single_video_details_repo_impl.dart", "Dart", 0, 15, 0, 0, 3, 18
"d:\flutter_projects\main\youtube-flutter-clone\lib\domain\repositories\video_comment_details\single_video_details_repository.dart", "Dart", 0, 2, 0, 0, 0, 2
