Date : 2023-03-01 19:57:00
Directory : d:\flutter_projects\main\youtube\flutter-full-youtube-clone
Total : 375 files,  28594 codes, 1392 comments, 3973 blanks, all 33959 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        250 |     26,416 |      1,104 |      3,634 |     31,154 |
| XML        |         87 |      1,071 |         49 |         70 |      1,190 |
| C++        |         16 |        529 |        118 |        181 |        828 |
| JSON       |          4 |        248 |          0 |          4 |        252 |
| YAML       |          6 |        136 |         97 |         31 |        264 |
| Groovy     |          3 |         91 |          5 |         24 |        120 |
| Swift      |          4 |         44 |          3 |         12 |         59 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                    |        375 |     28,594 |      1,392 |      3,973 |     33,959 |
| . (Files)                                                                                                                                                            |          3 |         62 |         83 |         27 |        172 |
| .github                                                                                                                                                              |          4 |         84 |         14 |         11 |        109 |
| .github\workflows                                                                                                                                                    |          4 |         84 |         14 |         11 |        109 |
| android                                                                                                                                                              |         12 |        165 |         51 |         37 |        253 |
| android (Files)                                                                                                                                                      |          3 |         38 |          0 |         10 |         48 |
| android\app                                                                                                                                                          |          8 |        122 |         51 |         26 |        199 |
| android\app (Files)                                                                                                                                                  |          1 |         56 |          5 |         15 |         76 |
| android\app\src                                                                                                                                                      |          7 |         66 |         46 |         11 |        123 |
| android\app\src\debug                                                                                                                                                |          1 |          4 |          4 |          1 |          9 |
| android\app\src\main                                                                                                                                                 |          5 |         58 |         38 |          9 |        105 |
| android\app\src\main (Files)                                                                                                                                         |          1 |         32 |          6 |          3 |         41 |
| android\app\src\main\res                                                                                                                                             |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                                                                    |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                                                                |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                                                                      |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                                                                |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                                                              |          1 |          4 |          4 |          1 |          9 |
| android\gradle                                                                                                                                                       |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                                                                               |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                                                               |         77 |        601 |          1 |         56 |        658 |
| assets\icons                                                                                                                                                         |         77 |        601 |          1 |         56 |        658 |
| assets\icons (Files)                                                                                                                                                 |         64 |        353 |          0 |         54 |        407 |
| assets\icons\new                                                                                                                                                     |         13 |        248 |          1 |          2 |        251 |
| ios                                                                                                                                                                  |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                                                                                           |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                                                                                   |          2 |         13 |          0 |          3 |         16 |
| ios\Runner\Assets.xcassets                                                                                                                                           |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                                                        |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                                                      |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                                                                |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                                                                  |        249 |     26,402 |      1,094 |      3,628 |     31,124 |
| lib\config                                                                                                                                                           |          3 |        195 |          2 |         19 |        216 |
| lib\config\routes                                                                                                                                                    |          1 |         22 |          2 |          6 |         30 |
| lib\config\themes                                                                                                                                                    |          2 |        173 |          0 |         13 |        186 |
| lib\core                                                                                                                                                             |         24 |      5,155 |        101 |        557 |      5,813 |
| lib\core\functions                                                                                                                                                   |         10 |      4,135 |         88 |        388 |      4,611 |
| lib\core\functions (Files)                                                                                                                                           |          8 |      4,010 |         88 |        370 |      4,468 |
| lib\core\functions\reformat                                                                                                                                          |          2 |        125 |          0 |         18 |        143 |
| lib\core\resources                                                                                                                                                   |          6 |        467 |          2 |        109 |        578 |
| lib\core\translations                                                                                                                                                |          5 |        325 |          1 |         15 |        341 |
| lib\core\translations (Files)                                                                                                                                        |          2 |         41 |          0 |          9 |         50 |
| lib\core\translations\langs                                                                                                                                          |          2 |        275 |          1 |          3 |        279 |
| lib\core\translations\local_storage                                                                                                                                  |          1 |          9 |          0 |          3 |         12 |
| lib\core\use_case                                                                                                                                                    |          1 |          6 |          0 |          1 |          7 |
| lib\core\utility                                                                                                                                                     |          2 |        222 |         10 |         44 |        276 |
| lib\data                                                                                                                                                             |         73 |      2,933 |        133 |        598 |      3,664 |
| lib\data\data_sources                                                                                                                                                |         23 |      1,209 |         51 |        181 |      1,441 |
| lib\data\data_sources\local                                                                                                                                          |          8 |        266 |          0 |         60 |        326 |
| lib\data\data_sources\local\channnel                                                                                                                                 |          6 |        191 |          0 |         42 |        233 |
| lib\data\data_sources\local\channnel\implements                                                                                                                      |          3 |        146 |          0 |         31 |        177 |
| lib\data\data_sources\local\channnel\interfaces                                                                                                                      |          3 |         45 |          0 |         11 |         56 |
| lib\data\data_sources\local\videos                                                                                                                                   |          2 |         75 |          0 |         18 |         93 |
| lib\data\data_sources\local\videos\implements                                                                                                                        |          1 |         59 |          0 |         12 |         71 |
| lib\data\data_sources\local\videos\interfaces                                                                                                                        |          1 |         16 |          0 |          6 |         22 |
| lib\data\data_sources\remote                                                                                                                                         |         15 |        943 |         51 |        121 |      1,115 |
| lib\data\data_sources\remote\api                                                                                                                                     |         15 |        943 |         51 |        121 |      1,115 |
| lib\data\data_sources\remote\api\channel                                                                                                                             |          6 |        366 |         22 |         45 |        433 |
| lib\data\data_sources\remote\api\channel (Files)                                                                                                                     |          2 |        161 |         12 |         18 |        191 |
| lib\data\data_sources\remote\api\channel\channel_playlist                                                                                                            |          2 |        100 |          5 |         14 |        119 |
| lib\data\data_sources\remote\api\channel\channel_videos                                                                                                              |          2 |        105 |          5 |         13 |        123 |
| lib\data\data_sources\remote\api\search                                                                                                                              |          3 |        118 |          5 |         21 |        144 |
| lib\data\data_sources\remote\api\search (Files)                                                                                                                      |          2 |         99 |          5 |         14 |        118 |
| lib\data\data_sources\remote\api\search\auto_complete_search                                                                                                         |          1 |         19 |          0 |          7 |         26 |
| lib\data\data_sources\remote\api\single_video                                                                                                                        |          4 |        303 |         18 |         37 |        358 |
| lib\data\data_sources\remote\api\single_video (Files)                                                                                                                |          2 |        135 |         12 |         19 |        166 |
| lib\data\data_sources\remote\api\single_video\commet                                                                                                                 |          2 |        168 |          6 |         18 |        192 |
| lib\data\data_sources\remote\api\videos                                                                                                                              |          2 |        156 |          6 |         18 |        180 |
| lib\data\models                                                                                                                                                      |         43 |      1,210 |         70 |        306 |      1,586 |
| lib\data\models\channel_details                                                                                                                                      |         11 |        438 |         17 |         98 |        553 |
| lib\data\models\channel_details (Files)                                                                                                                              |          3 |        152 |          4 |         30 |        186 |
| lib\data\models\channel_details\channel_sub_details                                                                                                                  |          1 |         22 |          1 |          6 |         29 |
| lib\data\models\channel_details\my_subscriptions                                                                                                                     |          3 |        102 |          4 |         24 |        130 |
| lib\data\models\channel_details\playlists                                                                                                                            |          4 |        162 |          8 |         38 |        208 |
| lib\data\models\comment_details                                                                                                                                      |          6 |        145 |          8 |         41 |        194 |
| lib\data\models\comment_details (Files)                                                                                                                              |          3 |        101 |          4 |         23 |        128 |
| lib\data\models\comment_details\comment_body                                                                                                                         |          2 |         44 |          4 |         17 |         65 |
| lib\data\models\comment_details\common                                                                                                                               |          1 |          0 |          0 |          1 |          1 |
| lib\data\models\common                                                                                                                                               |         16 |        243 |         32 |         83 |        358 |
| lib\data\models\common\base_comment_snippet                                                                                                                          |          4 |         66 |          8 |         18 |         92 |
| lib\data\models\common\base_snippet                                                                                                                                  |          2 |         34 |          4 |         10 |         48 |
| lib\data\models\common\page_info                                                                                                                                     |          2 |         15 |          4 |          9 |         28 |
| lib\data\models\common\thumbnail_details                                                                                                                             |          6 |         75 |         12 |         29 |        116 |
| lib\data\models\common\videos_ids                                                                                                                                    |          2 |         53 |          4 |         17 |         74 |
| lib\data\models\rating_details                                                                                                                                       |          1 |          7 |          0 |          5 |         12 |
| lib\data\models\reply_details                                                                                                                                        |          2 |         68 |          4 |         22 |         94 |
| lib\data\models\searched_video_details                                                                                                                               |          3 |        106 |          4 |         23 |        133 |
| lib\data\models\suggestion_texts                                                                                                                                     |          1 |          6 |          0 |          3 |          9 |
| lib\data\models\videos_details                                                                                                                                       |          3 |        197 |          5 |         31 |        233 |
| lib\data\repositories_impl                                                                                                                                           |          7 |        514 |         12 |        111 |        637 |
| lib\data\repositories_impl (Files)                                                                                                                                   |          2 |        153 |          0 |         37 |        190 |
| lib\data\repositories_impl\channel                                                                                                                                   |          3 |        266 |         12 |         56 |        334 |
| lib\data\repositories_impl\single_video_details                                                                                                                      |          2 |         95 |          0 |         18 |        113 |
| lib\domain                                                                                                                                                           |         34 |        501 |          8 |        136 |        645 |
| lib\domain\entities                                                                                                                                                  |          4 |         12 |          1 |          7 |         20 |
| lib\domain\entities\cache_items                                                                                                                                      |          1 |          4 |          0 |          3 |          7 |
| lib\domain\entities\enums                                                                                                                                            |          1 |          0 |          1 |          1 |          2 |
| lib\domain\entities\parameters                                                                                                                                       |          2 |          8 |          0 |          3 |         11 |
| lib\domain\repositories                                                                                                                                              |          7 |         95 |          0 |         22 |        117 |
| lib\domain\repositories (Files)                                                                                                                                      |          2 |         24 |          0 |          6 |         30 |
| lib\domain\repositories\channel                                                                                                                                      |          3 |         54 |          0 |         12 |         66 |
| lib\domain\repositories\video_comment_details                                                                                                                        |          2 |         17 |          0 |          4 |         21 |
| lib\domain\use_cases                                                                                                                                                 |         23 |        394 |          7 |        107 |        508 |
| lib\domain\use_cases\channel_details                                                                                                                                 |         11 |        187 |          0 |         47 |        234 |
| lib\domain\use_cases\channel_details (Files)                                                                                                                         |          5 |         82 |          0 |         21 |        103 |
| lib\domain\use_cases\channel_details\channel_videos                                                                                                                  |          4 |         68 |          0 |         16 |         84 |
| lib\domain\use_cases\channel_details\playlist                                                                                                                        |          2 |         37 |          0 |         10 |         47 |
| lib\domain\use_cases\search_details                                                                                                                                  |          3 |         60 |          0 |         15 |         75 |
| lib\domain\use_cases\single_video                                                                                                                                    |          6 |        103 |          7 |         31 |        141 |
| lib\domain\use_cases\single_video (Files)                                                                                                                            |          3 |         52 |          7 |         17 |         76 |
| lib\domain\use_cases\single_video\comment                                                                                                                            |          3 |         51 |          0 |         14 |         65 |
| lib\domain\use_cases\videos_details                                                                                                                                  |          3 |         44 |          0 |         14 |         58 |
| lib\presentation                                                                                                                                                     |        115 |     17,618 |        850 |      2,318 |     20,786 |
| lib\presentation (Files)                                                                                                                                             |          2 |         94 |          0 |         11 |        105 |
| lib\presentation\common_widgets                                                                                                                                      |         23 |      1,507 |          9 |        148 |      1,664 |
| lib\presentation\common_widgets (Files)                                                                                                                              |         13 |        530 |          1 |         66 |        597 |
| lib\presentation\common_widgets\mini_player_video                                                                                                                    |         10 |        977 |          8 |         82 |      1,067 |
| lib\presentation\common_widgets\mini_player_video (Files)                                                                                                            |          1 |        287 |          0 |         21 |        308 |
| lib\presentation\common_widgets\mini_player_video\sub_widgets                                                                                                        |          9 |        690 |          8 |         61 |        759 |
| lib\presentation\common_widgets\mini_player_video\sub_widgets (Files)                                                                                                |          5 |        412 |          8 |         40 |        460 |
| lib\presentation\common_widgets\mini_player_video\sub_widgets\bottom_sheet                                                                                           |          4 |        278 |          0 |         21 |        299 |
| lib\presentation\cubit                                                                                                                                               |         21 |      7,806 |        226 |      1,013 |      9,045 |
| lib\presentation\cubit\channel                                                                                                                                       |          9 |      3,317 |         97 |        428 |      3,842 |
| lib\presentation\cubit\channel (Files)                                                                                                                               |          3 |      1,163 |         33 |        145 |      1,341 |
| lib\presentation\cubit\channel\channel_videos                                                                                                                        |          3 |      1,421 |         37 |        174 |      1,632 |
| lib\presentation\cubit\channel\playlist                                                                                                                              |          3 |        733 |         27 |        109 |        869 |
| lib\presentation\cubit\search                                                                                                                                        |          3 |        956 |         30 |        131 |      1,117 |
| lib\presentation\cubit\single_video                                                                                                                                  |          3 |      1,539 |         39 |        192 |      1,770 |
| lib\presentation\cubit\videos                                                                                                                                        |          6 |      1,994 |         60 |        262 |      2,316 |
| lib\presentation\cubit\videos (Files)                                                                                                                                |          3 |        723 |         27 |        109 |        859 |
| lib\presentation\cubit\videos\popular_videos                                                                                                                         |          3 |      1,271 |         33 |        153 |      1,457 |
| lib\presentation\custom_packages                                                                                                                                     |         41 |      5,363 |        610 |        836 |      6,809 |
| lib\presentation\custom_packages\custom_mini_player                                                                                                                  |          4 |        424 |         35 |        105 |        564 |
| lib\presentation\custom_packages\pod_player                                                                                                                          |         29 |      3,163 |        152 |        355 |      3,670 |
| lib\presentation\custom_packages\pod_player (Files)                                                                                                                  |          1 |         12 |          0 |          3 |         15 |
| lib\presentation\custom_packages\pod_player\src                                                                                                                      |         28 |      3,151 |        152 |        352 |      3,655 |
| lib\presentation\custom_packages\pod_player\src (Files)                                                                                                              |          1 |        218 |         15 |         23 |        256 |
| lib\presentation\custom_packages\pod_player\src\controllers                                                                                                          |          7 |        906 |        106 |        173 |      1,185 |
| lib\presentation\custom_packages\pod_player\src\models                                                                                                               |          6 |        320 |         23 |         38 |        381 |
| lib\presentation\custom_packages\pod_player\src\utils                                                                                                                |          3 |        135 |          1 |         12 |        148 |
| lib\presentation\custom_packages\pod_player\src\widgets                                                                                                              |         11 |      1,572 |          7 |        106 |      1,685 |
| lib\presentation\custom_packages\pod_player\src\widgets (Files)                                                                                                      |          4 |        468 |          1 |         48 |        517 |
| lib\presentation\custom_packages\pod_player\src\widgets\core                                                                                                         |          7 |      1,104 |          6 |         58 |      1,168 |
| lib\presentation\custom_packages\pod_player\src\widgets\core (Files)                                                                                                 |          2 |        191 |          0 |         10 |        201 |
| lib\presentation\custom_packages\pod_player\src\widgets\core\overlays                                                                                                |          5 |        913 |          6 |         48 |        967 |
| lib\presentation\custom_packages\sliding_sheet                                                                                                                       |          8 |      1,776 |        423 |        376 |      2,575 |
| lib\presentation\custom_packages\sliding_sheet (Files)                                                                                                               |          1 |          4 |          0 |          2 |          6 |
| lib\presentation\custom_packages\sliding_sheet\src                                                                                                                   |          7 |      1,772 |        423 |        374 |      2,569 |
| lib\presentation\layouts                                                                                                                                             |          2 |        133 |          0 |         18 |        151 |
| lib\presentation\pages                                                                                                                                               |         26 |      2,715 |          5 |        292 |      3,012 |
| lib\presentation\pages\channel_profile                                                                                                                               |         11 |        579 |          0 |         67 |        646 |
| lib\presentation\pages\channel_profile (Files)                                                                                                                       |          3 |        258 |          0 |         28 |        286 |
| lib\presentation\pages\channel_profile\tab_bar_views                                                                                                                 |          8 |        321 |          0 |         39 |        360 |
| lib\presentation\pages\home                                                                                                                                          |          2 |        247 |          2 |         32 |        281 |
| lib\presentation\pages\home\logic                                                                                                                                    |          1 |         41 |          0 |         13 |         54 |
| lib\presentation\pages\home\views                                                                                                                                    |          1 |        206 |          2 |         19 |        227 |
| lib\presentation\pages\library                                                                                                                                       |          1 |        434 |          0 |         36 |        470 |
| lib\presentation\pages\most_popular                                                                                                                                  |          1 |        265 |          0 |         25 |        290 |
| lib\presentation\pages\search                                                                                                                                        |          4 |        212 |          2 |         22 |        236 |
| lib\presentation\pages\search (Files)                                                                                                                                |          2 |        150 |          2 |         14 |        166 |
| lib\presentation\pages\search\widgets                                                                                                                                |          2 |         62 |          0 |          8 |         70 |
| lib\presentation\pages\shorts                                                                                                                                        |          5 |        579 |          1 |         71 |        651 |
| lib\presentation\pages\shorts (Files)                                                                                                                                |          1 |        151 |          0 |         14 |        165 |
| lib\presentation\pages\shorts\logic                                                                                                                                  |          1 |         25 |          0 |          6 |         31 |
| lib\presentation\pages\shorts\widgets                                                                                                                                |          3 |        403 |          1 |         51 |        455 |
| lib\presentation\pages\subscriptions                                                                                                                                 |          2 |        399 |          0 |         39 |        438 |
| lib\presentation\pages\subscriptions (Files)                                                                                                                         |          1 |        381 |          0 |         33 |        414 |
| lib\presentation\pages\subscriptions\logic                                                                                                                           |          1 |         18 |          0 |          6 |         24 |
| linux                                                                                                                                                                |          5 |         94 |         27 |         38 |        159 |
| linux (Files)                                                                                                                                                        |          3 |         86 |         18 |         27 |        131 |
| linux\flutter                                                                                                                                                        |          2 |          8 |          9 |         11 |         28 |
| macos                                                                                                                                                                |          5 |        443 |          3 |         12 |        458 |
| macos\Flutter                                                                                                                                                        |          1 |         12 |          3 |          4 |         19 |
| macos\Runner                                                                                                                                                         |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                                                                                                 |          2 |         20 |          0 |          6 |         26 |
| macos\Runner\Assets.xcassets                                                                                                                                         |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                                                                      |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                                                                              |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                                                                                 |          1 |         14 |         10 |          6 |         30 |
| web                                                                                                                                                                  |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                                                                                              |         10 |        434 |         91 |        142 |        667 |
| windows\flutter                                                                                                                                                      |          2 |          8 |          9 |         11 |         28 |
| windows\runner                                                                                                                                                       |          8 |        426 |         82 |        131 |        639 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                             | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\flutter_projects\main\youtube\flutter-full-youtube-clone\.github\workflows\ci.yml                                                                                 | YAML       |         26 |          4 |          7 |         37 |
| d:\flutter_projects\main\youtube\flutter-full-youtube-clone\.github\workflows\firebase-hosting-merge.yml                                                             | YAML       |         16 |          2 |          1 |         19 |
| d:\flutter_projects\main\youtube\flutter-full-youtube-clone\.github\workflows\firebase-hosting-pull-request.yml                                                      | YAML       |         14 |          2 |          1 |         17 |
| d:\flutter_projects\main\youtube\flutter-full-youtube-clone\.github\workflows\releases.yml                                                                           | YAML       |         28 |          6 |          2 |         36 |
| d:\flutter_projects\main\youtube\flutter-full-youtube-clone\README.md                                                                                                | Markdown   |         10 |          0 |          7 |         17 |
| d:\flutter_projects\main\youtube\flutter-full-youtube-clone\analysis_options.yaml                                                                                    | YAML       |          3 |         23 |          4 |         30 |
| d:\flutter_projects\main\youtube\flutter-full-youtube-clone\android\app\build.gradle                                                                                 | Groovy     |         56 |          5 |         15 |         76 |
| d:\flutter_projects\main\youtube\flutter-full-youtube-clone\android\app\src\debug\AndroidManifest.xml                                                                | XML        |          4 |          4 |          1 |          9 |
| d:\flutter_projects\main\youtube\flutter-full-youtube-clone\android\app\src\main\AndroidManifest.xml                                                                 | XML        |         32 |          6 |          3 |         41 |
| d:\flutter_projects\main\youtube\flutter-full-youtube-clone\android\app\src\main\res\drawable-v21\launch_background.xml                                              | XML        |          4 |          7 |          2 |         13 |
| d:\flutter_projects\main\youtube\flutter-full-youtube-clone\android\app\src\main\res\drawable\launch_background.xml                                                  | XML        |          4 |          7 |          2 |         13 |
| d:\flutter_projects\main\youtube\flutter-full-youtube-clone\android\app\src\main\res\values-night\styles.xml                                                         | XML        |          9 |          9 |          1 |         19 |
| d:\flutter_projects\main\youtube\flutter-full-youtube-clone\android\app\src\main\res\values\styles.xml                                                               | XML        |          9 |          9 |          1 |         19 |
